formula,bulk_modulus_voigt,bulk_modulus_reuss,bulk_modulus_vrh,material_id
K2SbAu,17.203,15.458,16.33,mp-863757
AgAu3,121.457,121.457,121.457,mp-863750
LiMgTl2,30.009,30.009,30.009,mp-864597
Ho2IrRh,124.915,124.915,124.915,mp-864625
Nd2MgIn,46.386,46.386,46.386,mp-864612
LiMg2Ag,44.769,44.769,44.769,mp-864598
LiMg2Pt,70.501,70.501,70.501,mp-864614
Pm2TlCd,52.345,52.345,52.345,mp-864629
TbSnAu2,88.449,88.449,88.449,mp-864599
LiMg2Rh,66.418,66.418,66.418,mp-864601
BaHg2Pb,31.615,31.615,31.615,mp-864618
LiMg2Hg,42.537,42.537,42.537,mp-864630
LiNbRh2,175.191,175.191,175.191,mp-864631
Pm2SnPd,67.466,67.466,67.466,mp-864628
HoZnRh2,130.834,130.834,130.834,mp-864624
ZrCdPd2,132.25,132.25,132.25,mp-864607
NdI3,4.9879999999999995,0.922,2.955,mp-864617
Nd2MgAl,46.7,46.7,46.7,mp-864610
CaSmCd2,42.683,42.683,42.683,mp-864620
AcCuO3,163.571,163.571,163.571,mp-864606
NdSnAu2,82.554,82.554,82.554,mp-864668
Ta2OsW,272.496,272.496,272.496,mp-864650
Ta2NbIr,234.508,234.508,234.508,mp-864640
Ta2NbOs,240.518,240.518,240.518,mp-864639
Zn2NiRh,161.838,161.838,161.838,mp-864654
ZnCuPd2,150.032,150.032,150.032,mp-864661
HoI3,5.418,0.344,2.881,mp-864657
Ta2VOs,245.861,245.861,245.861,mp-864670
Ta2NbRu,221.392,221.392,221.392,mp-864651
NbSiTc2,245.129,245.129,245.129,mp-864672
HoMgRh2,113.756,113.756,113.756,mp-864744
Hf2MoIr,189.709,189.709,189.709,mp-864684
HfInPd2,141.693,141.693,141.693,mp-864734
Yb3N2,76.266,73.541,74.904,mp-864675
Yb2TlPb,33.91,33.91,33.91,mp-864741
Yb2TlCd,33.659,33.659,33.659,mp-864743
LiMg2Zn,40.259,40.259,40.259,mp-864762
Yb2MgIn,30.524,30.524,30.524,mp-864756
Mn3Ir,286.039,198.75,242.395,mp-864735
LiYb2Rh,41.92,41.92,41.92,mp-864763
Gd2MgIn,67.859,67.859,67.859,mp-864748
HfInCo2,206.086,206.086,206.086,mp-864715
LiSnRh2,142.707,142.707,142.707,mp-864784
Nd2BC,51.199,42.871,47.035,mp-864790
Ta2MoOs,265.254,265.254,265.254,mp-864770
EuCdHg2,37.559,37.559,37.559,mp-864796
HoAgHg2,70.325,70.325,70.325,mp-864775
LiTbHg2,52.714,52.714,52.714,mp-864804
Ta2MoRu,246.749,246.749,246.749,mp-864782
NbInRu2,210.794,210.794,210.794,mp-864788
HfZnIr2,211.726,211.726,211.726,mp-864798
HfZnNi2,150.532,150.532,150.532,mp-864807
HoCdAg2,73.061,73.061,73.061,mp-864904
Hf2FeIr,180.435,180.435,180.435,mp-864890
NbZnCo2,192.655,192.655,192.655,mp-864857
DyCdHg2,63.398,63.398,63.398,mp-864884
Zr2CuOs,162.384,162.384,162.384,mp-864897
Be2NiRh,194.531,194.531,194.531,mp-864895
NdAgHg2,64.746,64.746,64.746,mp-864893
Zr2CoTc,93.62,93.62,93.62,mp-864896
MgTlRh2,131.037,131.037,131.037,mp-864902
MgSnPd2,112.134,112.134,112.134,mp-864883
NbZnRu2,218.128,218.128,218.128,mp-864840
Zn2PdRh,156.281,156.281,156.281,mp-864839
Na2TlBi,22.587,22.587,22.587,mp-864898
ZrZn3,101.542,101.196,101.369,mp-864889
MgTaRu2,198.121,198.121,198.121,mp-864903
MgZrPd2,121.633,121.633,121.633,mp-864907
MnBe2Rh,171.181,171.181,171.181,mp-864945
MnAlIr2,228.585,228.585,228.585,mp-864950
MgSc2,49.11,48.979,49.044,mp-864941
NdMgZn2,56.12,56.12,56.12,mp-864925
MgTiIr2,191.279,191.279,191.279,mp-864908
Mg2AgRh,88.2,88.2,88.2,mp-864933
MgZnAu2,94.828,94.828,94.828,mp-864922
MgAg3,76.916,76.915,76.915,mp-864934
MnGaRh2,188.351,188.351,188.351,mp-864949
MgTiRh2,161.554,161.554,161.554,mp-864919
HfAlRu2,195.913,195.913,195.913,mp-864909
MgZrIr2,178.265,178.265,178.265,mp-864921
LiTiIr2,190.484,190.484,190.484,mp-864930
Hf2TcRh,187.509,187.509,187.509,mp-864916
NdMgHg2,58.214,58.214,58.214,mp-864924
Mg2AgPt,84.193,84.193,84.193,mp-864932
MnGeRu2,227.345,227.345,227.345,mp-864936
MnCuPd2,143.606,143.606,143.606,mp-864946
MgZrAu2,114.52,114.52,114.52,mp-864920
MnBe2Ir,193.511,193.511,193.511,mp-864943
Mg3Tl,34.564,34.555,34.56,mp-864938
HfPaTc2,171.303,171.303,171.303,mp-864926
Mg2PtRh,120.332,120.332,120.332,mp-864940
MgZrRh2,149.687,149.687,149.687,mp-864910
Mn2CrCo,153.099,153.099,153.099,mp-864955
MnV2Cr,231.986,231.986,231.986,mp-864953
MnSiTc2,252.159,252.159,252.159,mp-864970
Be2PdPt,194.226,194.226,194.226,mp-864961
Mg2AgAu,73.054,73.054,73.054,mp-864978
MnSiRu2,247.412,247.412,247.412,mp-864966
MgMoN2,247.0,245.524,246.262,mp-864954
Mn2AlCr,193.97,193.97,193.97,mp-864988
MnSnRu2,176.935,176.935,176.935,mp-864971
Mg2PdRh,106.207,106.207,106.207,mp-864969
MnZnIr2,226.37,226.37,226.37,mp-864985
Mn2AlW,237.182,237.182,237.182,mp-864990
MnInRh2,155.882,155.882,155.882,mp-864968
MnSbRu2,200.874,200.874,200.874,mp-864957
CaAcZn2,38.641,38.641,38.641,mp-864962
Mn2AlRe,255.756,255.756,255.756,mp-864989
DyBr3,6.853,0.217,3.535,mp-864982
MnNbRu2,218.17,218.17,218.17,mp-864992
